"kodebarang","nama","stok",
"001.19115.AGILIS","BL MC 195 R15 AGILIS","32",
"001.BL.10002016.BFG.CROSS","BL 1000 20 16 BFG CROSS","76",
"001.BL.10002016.M77","BL MRF 10.00 - 20 16 M77","29",
"001.BL.10002016.SLUGEXTRA","BL MRF 10.00 - 20 16 SLUG XTRA","33",
"001.BL.10002016.VULKANISIR","BL VULKANISIR 1000 - 20 16","15",
"001.BL.10002016.XZE2","BL MC 10.00 R20 PR16 XZE 2","48",
"001.BL.10002016.XZY3","BL MC 10.00 R20 PR16 XZY3","112",
"001.BL.10.00R2016.S3C8","BL MRF 10.00R20 16 S3C8","14",
"001.BL.1000R2016.XDY3HD","BL MC 10.00 R20 PR16 XDY3HD"," 4",
"001.BL.11002016 M77","BL MRF 11.00 - 20 16 M77","15",
"001.BL.11002016.S3C8","BL MRF 11.00 R 20 16 S3C8"," 3",
"001.BL.1100R2016.CRC","BL BFG 11.00 R 20 - 16 CROSS CONTROL "," 5",
"001.BL.1100R20.XZY3","BL MC 11.00 R20.16  XZY3","139",
"001.BL.1122.5.XMZ","BL MICHELIN 11R22.5 XMZ","122",
"001.BL.1122.5.XZY3","TIRE 11R 22.5 XZY3 MICHELIN","18",
"001.BL.11R22.5.BFG","BL BFG 11 R 22.5 ROUTE CONTROL","105",
"001.BL.11R22.5.VULKANISIR","BL VULKANISIR 11 R 22.5"," 5",
"001.BL.11R.SERVIS","BL SERVIS 11R 22.5"," 1",
"001.BL.1758013.XCD2","BL MC 175/80 - 13 XCD2"," 9",
"001.BL.185148.AGILISH","BL MC 185 - 14 8 AGILISH","45",
"001.BL.1856515","BL MC 185/65 - 15 EXM2+ MI","25",
"001.BL.1856515.EP150","BL BS 185/65 - 15 ECOPIA EP150"," 2",
"001.BL.19514.AGILIS","BL MICHELIN 195 R14 AGILIS","44",
"001.BL.1956515.PCY4","BL MC 195/65 - 15 TL PCY 4 STMI"," 4",
"001.BL.2054517.PS3","BL MC 205/45 - 17 PLSP4 ST"," 6",
"001.BL.2056516.ECOPIA","BL BS 205/65 - 16 ECOPIA EP150"," 2",
"001.BL.2157015.XM2","BL MC 215 70 15 EXM2+ MI"," 5",
"001.BL.2157016.AGILISMI","BL MC 215/70 - 16 AGILIS MI"," 9",
"001.BL.2157517.5.XTE","BL MC 215/75 R17.5 XTE 2+","121",
"001.BL.27570225.XMZ","BL MC 275/70 R 22.5 XMZ","87",
"001.BL.2958022.5.XMZ","BL MC 295/80 R22.5 XMZ","61",
"001.BL.3259524.WORKS","BL MC 325/95 - 24 X WORKS XD"," 1",
"001.BL.700R16","BL MC 7.00 R16 AGILIS","21",
"001.BL.75016 SM95 R N14","BL MRF 7.50 - 16 SM95"," 1",
"001.BL.7501614.AGILIS","BL MC 750 - R16 14 AGILIS LT","32",
"001.BL.7501614.AP866","BL ROAD X 750/16-R.14 AP866","30",
"001.BL.7501614.HD.PCS","TIRE  7.50 R16 14PLY AGILIS HD MICHELIN"," 0",
"001.BL.7501614.SUPERLUG","BL MRF 7.50 - 16 14 SLUG"," 1",
"001.BL.7501614.VULKANISIR","BL VULKANISIR 750 - 16 14"," 6",
"001.BL.82516.AGILIS HD SET","BL MC 8.25 R16 AGILIS HD","191",
"001.BL.825R1614.LT","BL MC 8.25 R 16 14 LT","14",
"001.VELG.700.20H8","VELG 700 X 20 H8 14MM"," 2",
"006.PENTIL KARET.00","PENTIL KARET","96",
"07.207.5.H.10","VELG TOPI 20X7.5  V WT H.10"," 4",
"07.550156","VELG 5.50 15 HOLE 6"," 1",
"07.750201014.VITRACK","VELG TOPU 7.50 - 20 / 10H 14 MM "," 1",
"1.10002016.EMSA","BL BS 1000 - 20 16 EMSA","83",
"1.10002016.MMR","BL MRF 10.00 - 20 16 MMR"," 6",
"110002016RM9","BL DL 1000 - 20 16 RM 9"," 9",
"1.10002016.ROUTE","BL BFG 10.00 20 ROUTECONTROL","26",
"1.10002016.S1M4","BL MRF 10.00 - 20 16 S1M4","39",
"110002016.SULP","BL BS 1000 - 20 16 SULP"," 4",
"1.10.00R20.18PR","BL ROAD-X 10.00R20 18PR MS668"," 6",
"1.10.00R20.18PR.AP","BL ROAD-X 10.00R20 18PR AP866"," 4",
"111002016.EMSA","BL BS 1100 - 20 16 EMSA","10",
"1.11002016.MUSCLEMILER","BL MRF 11.00 - 20 16 MUSCLEMILER","14",
"1.11002016.S1M4","BL MRF 11.00 20 150/147 S1M4+ R16"," 2",
"1.11002016SLUG50+LEPASAN","BL LEPASAN 11.00 - 20 16 SLUG 50+"," 4",
"1.11002016.XZE2","BL MICHELIN 11.00 R 20 - 16 XZE 2","88",
"1.11R225.CROSSCONTROL","BL BFG 11 R 22,5 CROSS CONTROL"," 7",
"1.11R22.5.XMD+","BL MICHELIN 11R22.5 XMD+","36",
"1.11R22.5.XMZ","TIRE 11R 22.5 XMZ 2 MICHELIN","78",
"1.16513.AGILIS","BL MICHELIN 165R13 LT AGILIS PR6 TLMI","30",
"1.1654017.PHI","BL VD 165/40 - 17 ACCELERA PHI-R"," 6",
